OrderID,OrderDate,EmployeeID,ProductID,OrderQuantity,OrderType,ClientName,EventType
ORD-0027,2025-01-13,EMP-0035,PRD-0001,6,Sur place,Julie Ouellet,Quotidien
ORD-0028,2025-07-17,EMP-0035,PRD-0003,21,Sur place,Camille Guay,Corporate
ORD-0029,2025-05-22,EMP-0032,PRD-0002,1,À emporter,Gérard Giroux,Quotidien
ORD-0030,2025-07-13,EMP-0029,PRD-0001,3,Sur place,Luc Desbiens,Atelier
ORD-0031,2025-02-22,EMP-0032,PRD-0002,2,Sur place,Jeanne Vallée,Quotidien
ORD-0032,2025-03-18,EMP-0025,PRD-0004,2,Sur place,Marcel Blouin,Atelier
ORD-0033,2025-03-02,EMP-0032,PRD-0003,48,Sur place,Hugues Gravel,Corporate
ORD-0034,2025-01-09,EMP-0032,PRD-0006,4,Livraison,Élodie Lemire-Boucher,Quotidien
ORD-0035,2025-12-11,EMP-0032,PRD-0006,5,Sur place,Kevin Dallaire,Quotidien
ORD-0036,2025-04-06,EMP-0032,PRD-0005,2,Sur place,Jean Beaudoin,Quotidien
ORD-0037,2025-05-02,EMP-0008,PRD-0004,4,Sur place,Émile Champagne-Ouellet,Quotidien
ORD-0038,2025-04-06,EMP-0007,PRD-0004,5,Sur place,Lorraine Renaud,Quotidien
ORD-0039,2025-11-13,EMP-0032,PRD-0001,30,Sur place,Édouard-Bernard Martineau,Corporate
ORD-0040,2025-02-13,EMP-0008,PRD-0004,5,Sur place,Claude Mathieu,Quotidien
ORD-0041,2025-05-12,EMP-0025,PRD-0006,4,À emporter,Luc-Nicolas Guillemette,Quotidien
ORD-0042,2025-06-21,EMP-0008,PRD-0004,3,À emporter,Isabelle Poirier,Quotidien
ORD-0043,2025-12-02,EMP-0007,PRD-0006,6,Sur place,Bernard Cyr,Quotidien
ORD-0044,2025-10-05,EMP-0029,PRD-0003,2,Sur place,Roger Gaudreault,Quotidien
ORD-0045,2025-01-31,EMP-0008,PRD-0006,47,Livraison,Victor Arsenault,Corporate
ORD-0046,2025-02-01,EMP-0025,PRD-0005,37,Livraison,Gilbert-Martin Vachon,Corporate
ORD-0047,2025-09-25,EMP-0035,PRD-0005,1,Sur place,Marie Brunet,Quotidien
ORD-0048,2025-07-13,EMP-0025,PRD-0005,6,Sur place,Astrid St-Jean,Quotidien
ORD-0049,2025-05-13,EMP-0003,PRD-0003,4,Sur place,Josette-Martine Cormier,Quotidien
ORD-0050,2025-01-05,EMP-0007,PRD-0002,3,À emporter,Thérèse Marcoux,Quotidien
ORD-0051,2025-09-01,EMP-0032,PRD-0002,1,Sur place,Hugues Savoie,Quotidien
ORD-0052,2025-09-12,EMP-0034,PRD-0004,1,Sur place,Emmanuelle-Océane Paradis,Quotidien
ORD-0053,2025-10-09,EMP-0034,PRD-0001,2,À emporter,Gilles Benoît,Quotidien
ORD-0054,2025-01-29,EMP-0029,PRD-0002,6,Livraison,Sébastien-Hugues Paradis,Quotidien
ORD-0055,2025-01-21,EMP-0003,PRD-0004,3,Livraison,Pénélope Savoie,Anniversaire
ORD-0056,2025-11-12,EMP-0007,PRD-0004,7,À emporter,Théodore Thibault,Anniversaire
ORD-0057,2025-03-21,EMP-0008,PRD-0001,8,Sur place,Jean Savard-Larocque,Atelier
ORD-0058,2025-02-08,EMP-0008,PRD-0006,2,Sur place,Manon Ménard,Quotidien
ORD-0059,2025-05-26,EMP-0003,PRD-0003,2,Livraison,Rémy Morin,Quotidien
ORD-0060,2025-03-13,EMP-0008,PRD-0004,4,À emporter,Christine Soucy,Quotidien
ORD-0061,2025-09-25,EMP-0025,PRD-0002,4,Sur place,Gérard Boulanger,Quotidien
ORD-0062,2025-03-11,EMP-0034,PRD-0002,6,Sur place,René Chouinard,Quotidien
ORD-0063,2025-08-06,EMP-0029,PRD-0004,6,Sur place,Diane Grégoire,Quotidien
ORD-0064,2025-09-25,EMP-0029,PRD-0002,48,Sur place,Roland Grégoire,Corporate
ORD-0065,2025-09-14,EMP-0008,PRD-0003,3,Sur place,Dorothée Laroche,Quotidien
ORD-0066,2025-08-20,EMP-0025,PRD-0005,5,Sur place,Diane Caron,Quotidien
ORD-0067,2025-09-01,EMP-0025,PRD-0001,5,Sur place,Tristan Bisson,Quotidien
ORD-0068,2025-04-12,EMP-0032,PRD-0003,1,Sur place,Marianne Germain,Quotidien
ORD-0069,2025-04-05,EMP-0035,PRD-0003,4,Sur place,Nathalie Arsenault,Quotidien
ORD-0070,2025-05-14,EMP-0008,PRD-0003,25,À emporter,Théodore Paradis-Gingras,Corporate
ORD-0071,2025-06-13,EMP-0003,PRD-0004,6,Sur place,Vanessa Savard-Bédard,Quotidien
ORD-0072,2025-11-01,EMP-0008,PRD-0005,25,Sur place,Emmanuel Richer-Couture,Corporate
ORD-0073,2025-08-20,EMP-0035,PRD-0006,6,Sur place,Dominique Desrosiers,Quotidien
ORD-0074,2025-11-23,EMP-0025,PRD-0002,35,Livraison,Françoise Renaud,Corporate
ORD-0075,2025-11-03,EMP-0035,PRD-0001,2,À emporter,Pénélope Ferland,Atelier
ORD-0076,2025-10-30,EMP-0007,PRD-0006,30,À emporter,Marianne-Christine Plante,Corporate
ORD-0077,2025-02-26,EMP-0032,PRD-0002,43,Sur place,Marie-Joséphine St-Jean,Corporate
ORD-0078,2025-05-02,EMP-0034,PRD-0002,6,À emporter,Patricia-Gabrielle Bolduc,Quotidien
ORD-0079,2025-12-09,EMP-0008,PRD-0004,3,À emporter,Marcelle Duguay,Quotidien
ORD-0080,2025-02-11,EMP-0008,PRD-0004,29,À emporter,Christiane Soucy,Corporate
ORD-0081,2025-07-24,EMP-0025,PRD-0002,1,Sur place,Denise Boivin,Quotidien
ORD-0082,2025-02-16,EMP-0029,PRD-0002,4,Sur place,Richard Larocque,Quotidien
ORD-0083,2025-11-19,EMP-0029,PRD-0006,6,À emporter,Paulette Beaulieu,Quotidien
ORD-0084,2025-08-22,EMP-0029,PRD-0005,5,Livraison,Audrey Lefebvre,Quotidien
ORD-0085,2025-03-29,EMP-0008,PRD-0001,6,À emporter,Zoé Villeneuve,Anniversaire
ORD-0086,2025-06-03,EMP-0025,PRD-0003,4,Sur place,Henri-Arthur Blais,Quotidien
ORD-0087,2025-01-22,EMP-0025,PRD-0004,4,À emporter,Raymond Larivière-Gauthier,Quotidien
ORD-0088,2025-07-30,EMP-0007,PRD-0004,1,À emporter,Jérôme Laliberté,Anniversaire
ORD-0089,2025-01-24,EMP-0007,PRD-0003,16,À emporter,Pierre Lavoie,Corporate
ORD-0090,2025-09-30,EMP-0035,PRD-0003,4,À emporter,Odette Thibodeau,Quotidien
ORD-0091,2025-04-29,EMP-0008,PRD-0003,17,Livraison,Manon Larocque,Corporate
ORD-0092,2025-07-28,EMP-0029,PRD-0002,6,Sur place,Roger Blouin,Quotidien
ORD-0093,2025-06-22,EMP-0034,PRD-0001,1,Livraison,Camille Beauregard,Quotidien
ORD-0094,2025-09-19,EMP-0025,PRD-0006,3,À emporter,Alexandra-Émilie Lemire,Quotidien
ORD-0095,2025-11-22,EMP-0032,PRD-0004,1,Sur place,Élodie Bolduc-Brassard,Quotidien
ORD-0096,2025-09-15,EMP-0035,PRD-0002,5,Sur place,Grégoire Labelle,Quotidien
ORD-0097,2025-11-17,EMP-0029,PRD-0002,20,Sur place,Rémy Asselin-Mercier,Corporate
ORD-0098,2025-10-19,EMP-0029,PRD-0006,6,À emporter,Manon Rivard,Anniversaire
ORD-0099,2025-09-29,EMP-0035,PRD-0005,45,À emporter,Martine Séguin,Corporate
ORD-0100,2025-04-27,EMP-0032,PRD-0004,26,Sur place,Julie Potvin,Corporate
ORD-0101,2025-10-28,EMP-0029,PRD-0005,2,Sur place,Nathan Charron-Delisle,Quotidien
ORD-0102,2025-04-20,EMP-0008,PRD-0005,6,Livraison,Maxime Veilleux-Labelle,Quotidien
ORD-0103,2025-02-27,EMP-0029,PRD-0005,5,À emporter,Jeanne Bégin,Quotidien
ORD-0104,2025-01-14,EMP-0032,PRD-0003,3,Livraison,Samuel Lussier,Quotidien
ORD-0105,2025-12-25,EMP-0034,PRD-0001,3,Sur place,Agnès Audet,Quotidien
ORD-0106,2025-09-01,EMP-0007,PRD-0001,2,Livraison,Claude Vallée-Desrosiers,Quotidien
ORD-0107,2025-04-20,EMP-0029,PRD-0005,3,Sur place,Alain Lavoie,Anniversaire
ORD-0108,2025-07-09,EMP-0032,PRD-0005,4,Sur place,Odette Guillemette,Quotidien
ORD-0109,2025-11-18,EMP-0029,PRD-0004,6,À emporter,Frédéric Boulanger,Quotidien
ORD-0110,2025-03-19,EMP-0034,PRD-0002,2,À emporter,Hortense Larocque,Anniversaire
ORD-0111,2025-06-30,EMP-0029,PRD-0005,6,Sur place,Roland-Richard Turcotte,Quotidien
ORD-0112,2025-07-06,EMP-0025,PRD-0003,2,Sur place,Raymond Mercier,Anniversaire
ORD-0113,2025-09-21,EMP-0034,PRD-0001,1,Sur place,Émile Denis,Quotidien
ORD-0114,2025-05-12,EMP-0034,PRD-0001,31,À emporter,Jérôme Pilon,Corporate
ORD-0115,2025-06-21,EMP-0032,PRD-0002,2,À emporter,Pauline Raymond-Boulanger,Quotidien
ORD-0116,2025-08-01,EMP-0008,PRD-0005,12,Sur place,Sarah-Gabrielle Lachapelle,Corporate
ORD-0117,2025-01-08,EMP-0035,PRD-0005,43,Livraison,Jonathan Champagne,Corporate
ORD-0118,2025-04-13,EMP-0003,PRD-0002,4,Sur place,Béatrice Ouellet,Quotidien
ORD-0119,2025-06-16,EMP-0034,PRD-0002,4,Sur place,Stéphane Cyr-Lemay,Quotidien
ORD-0120,2025-05-22,EMP-0007,PRD-0006,1,Sur place,Nicolas Dionne,Quotidien
ORD-0121,2025-11-13,EMP-0007,PRD-0005,5,Livraison,Théodore Cyr,Quotidien
ORD-0122,2025-09-27,EMP-0003,PRD-0001,6,Sur place,Lucas Labelle-Leduc,Quotidien
ORD-0123,2025-01-17,EMP-0032,PRD-0002,5,Sur place,Guillaume Richer,Quotidien
ORD-0124,2025-03-24,EMP-0034,PRD-0001,1,Livraison,Laetitia Brunet-Lemire,Quotidien
ORD-0125,2025-07-15,EMP-0035,PRD-0002,47,À emporter,Édouard Leblanc,Corporate
ORD-0126,2025-12-11,EMP-0003,PRD-0006,6,Sur place,Nathalie Audet,Quotidien
ORD-0127,2025-06-25,EMP-0025,PRD-0003,4,À emporter,Luc Labelle,Quotidien
ORD-0128,2025-07-14,EMP-0008,PRD-0004,30,Sur place,Florence Drolet-Gagné,Corporate
ORD-0129,2025-10-16,EMP-0034,PRD-0005,2,Livraison,Nicolas Morin,Quotidien
ORD-0130,2025-09-13,EMP-0034,PRD-0005,3,Livraison,Isabelle-Claudine Lemieux,Quotidien
ORD-0131,2025-10-23,EMP-0029,PRD-0006,4,À emporter,Michel Tremblay,Quotidien
ORD-0132,2025-09-13,EMP-0025,PRD-0004,45,Sur place,Mathieu-Roger Michaud,Corporate
ORD-0133,2025-07-16,EMP-0025,PRD-0004,5,Sur place,Margot Larocque,Anniversaire
ORD-0134,2025-03-20,EMP-0035,PRD-0003,22,Sur place,Richard Lefebvre,Corporate
ORD-0135,2025-05-02,EMP-0007,PRD-0002,6,Livraison,Anne Bisson,Quotidien
ORD-0136,2025-11-03,EMP-0035,PRD-0006,5,Sur place,Nathalie-Monique Fréchette,Quotidien
ORD-0137,2025-03-01,EMP-0035,PRD-0004,3,Sur place,Guillaume Langlois,Quotidien
ORD-0138,2025-02-15,EMP-0007,PRD-0005,1,À emporter,Daniel Laflamme,Quotidien
ORD-0139,2025-11-18,EMP-0007,PRD-0005,1,Livraison,Philippe Richard,Quotidien
ORD-0140,2025-04-27,EMP-0029,PRD-0003,9,Sur place,Benoît Laliberté,Anniversaire
ORD-0141,2025-06-01,EMP-0025,PRD-0006,5,À emporter,Jacqueline Charbonneau,Quotidien
ORD-0142,2025-06-05,EMP-0034,PRD-0004,1,Livraison,Charles Thériault-Lavallée,Quotidien
ORD-0143,2025-01-09,EMP-0003,PRD-0006,6,À emporter,Anouk Denis,Quotidien
ORD-0144,2025-08-19,EMP-0008,PRD-0005,5,Livraison,Mathieu Rodrigue,Quotidien
ORD-0145,2025-11-09,EMP-0008,PRD-0005,1,À emporter,Richard Gagnon,Quotidien
ORD-0146,2025-08-04,EMP-0003,PRD-0002,43,Sur place,Théodore Nadeau,Corporate
ORD-0147,2025-12-14,EMP-0034,PRD-0003,2,Sur place,Guillaume Proulx,Anniversaire
ORD-0148,2025-09-27,EMP-0035,PRD-0003,4,À emporter,Diane Smith-Forget,Anniversaire
ORD-0149,2025-08-14,EMP-0008,PRD-0002,4,Sur place,Alexis Piché,Quotidien
ORD-0150,2025-05-22,EMP-0034,PRD-0005,34,Sur place,Céline Bérubé,Corporate
ORD-0151,2025-03-03,EMP-0032,PRD-0003,5,À emporter,Maude Paquette,Quotidien
ORD-0152,2025-08-28,EMP-0035,PRD-0003,3,Sur place,Xavier Boisvert,Quotidien
ORD-0153,2025-03-09,EMP-0025,PRD-0002,1,À emporter,Astrid Langlois,Quotidien
ORD-0154,2025-02-06,EMP-0029,PRD-0006,1,À emporter,Antoine Martel,Quotidien
ORD-0155,2025-07-26,EMP-0034,PRD-0003,6,Sur place,Marc Delisle-Lavoie,Quotidien
ORD-0156,2025-10-16,EMP-0035,PRD-0005,4,Sur place,Michèle-Astrid Fortier,Anniversaire
ORD-0157,2025-01-29,EMP-0029,PRD-0003,4,Sur place,Juliette Maltais,Quotidien
ORD-0158,2025-02-25,EMP-0035,PRD-0004,5,Sur place,Louis Lacroix,Atelier
ORD-0159,2025-10-10,EMP-0034,PRD-0001,4,Sur place,Luc Caron,Quotidien
ORD-0160,2025-09-19,EMP-0029,PRD-0006,1,Sur place,René Blanchette,Quotidien
ORD-0161,2025-06-28,EMP-0003,PRD-0003,4,Sur place,Marie Pépin,Anniversaire
ORD-0162,2025-02-10,EMP-0007,PRD-0004,4,Sur place,Valérie Bélisle,Quotidien
ORD-0163,2025-03-20,EMP-0007,PRD-0004,1,À emporter,Alexandre Grenier,Quotidien
ORD-0164,2025-12-30,EMP-0034,PRD-0005,5,Sur place,Victor-Jules Perron,Quotidien
ORD-0165,2025-02-01,EMP-0003,PRD-0005,2,À emporter,Marc Picard,Quotidien
ORD-0166,2025-11-17,EMP-0029,PRD-0006,4,Sur place,Charlotte Bégin-Tessier,Quotidien
ORD-0167,2025-02-01,EMP-0025,PRD-0006,4,Livraison,Élise Lachapelle-Prévost,Anniversaire
ORD-0168,2025-08-27,EMP-0034,PRD-0006,3,Sur place,Martine Boily,Quotidien
ORD-0169,2025-03-02,EMP-0032,PRD-0006,1,Sur place,Guillaume Dubois,Anniversaire
ORD-0170,2025-08-11,EMP-0003,PRD-0003,12,Sur place,François Gravel,Corporate
ORD-0171,2025-08-25,EMP-0008,PRD-0002,2,Livraison,Stéphane Paré,Anniversaire
ORD-0172,2025-08-21,EMP-0029,PRD-0001,6,Sur place,Kevin Lambert,Quotidien
ORD-0173,2025-03-01,EMP-0007,PRD-0004,1,Sur place,Xavier-Charles Charbonneau,Quotidien
ORD-0174,2025-12-29,EMP-0003,PRD-0001,6,Sur place,Louise Bouchard,Quotidien
ORD-0175,2025-01-11,EMP-0035,PRD-0005,3,Livraison,René Béland,Quotidien
ORD-0176,2025-01-24,EMP-0032,PRD-0002,2,Sur place,Vincent Forget,Quotidien
ORD-0177,2025-02-28,EMP-0025,PRD-0003,20,Sur place,Édith Dufresne,Corporate
ORD-0178,2025-12-19,EMP-0025,PRD-0004,3,Sur place,Laetitia Plourde,Quotidien
ORD-0179,2025-05-28,EMP-0032,PRD-0005,5,Sur place,Julien Larivière,Quotidien
ORD-0180,2025-06-24,EMP-0032,PRD-0001,2,Sur place,Cécile Gingras,Quotidien
ORD-0181,2025-08-24,EMP-0032,PRD-0005,4,À emporter,Maurice Godin,Quotidien
ORD-0182,2025-04-18,EMP-0003,PRD-0001,3,Sur place,Nathan-Raphaël Bergeron,Quotidien
ORD-0183,2025-07-05,EMP-0003,PRD-0001,2,À emporter,Charles Tardif-Benoît,Quotidien
ORD-0184,2025-11-27,EMP-0035,PRD-0002,3,À emporter,André Lavoie,Quotidien
ORD-0185,2025-05-02,EMP-0008,PRD-0004,28,Sur place,Juliette Houle-Legault,Corporate
ORD-0186,2025-08-11,EMP-0035,PRD-0002,8,Livraison,Éric Bisson,Anniversaire
ORD-0187,2025-03-26,EMP-0032,PRD-0002,30,Livraison,Noël Noël,Corporate
ORD-0188,2025-08-28,EMP-0034,PRD-0005,1,Livraison,Stéphane St-Laurent,Quotidien
ORD-0189,2025-02-25,EMP-0003,PRD-0002,5,Livraison,Olivier Lavoie,Quotidien
ORD-0190,2025-09-23,EMP-0003,PRD-0003,6,Sur place,Stéphane-Raphaël Patel,Quotidien
ORD-0191,2025-04-10,EMP-0035,PRD-0001,9,Sur place,Alex-Alexandra Trudel,Atelier
ORD-0192,2025-06-15,EMP-0007,PRD-0002,1,Sur place,Samuel Vézina,Quotidien
ORD-0193,2025-12-08,EMP-0007,PRD-0005,3,Sur place,Édouard Chouinard,Atelier
ORD-0194,2025-06-04,EMP-0025,PRD-0002,4,À emporter,Philippe Vincent-Dupont,Quotidien
ORD-0195,2025-02-22,EMP-0008,PRD-0004,46,Sur place,Raymond Deschênes,Corporate
ORD-0196,2025-08-18,EMP-0034,PRD-0003,10,Sur place,Rémy Paradis,Anniversaire
ORD-0197,2025-05-12,EMP-0003,PRD-0002,2,À emporter,Frédérique-Chantal Fortier,Quotidien
ORD-0198,2025-02-18,EMP-0003,PRD-0001,1,Livraison,Laurence-Gabrielle Turcotte,Quotidien
ORD-0199,2025-04-17,EMP-0008,PRD-0001,3,Livraison,Rémy Vézina,Quotidien
ORD-0200,2025-06-24,EMP-0003,PRD-0006,6,Livraison,Louis Lemieux,Atelier
ORD-0201,2025-11-29,EMP-0029,PRD-0002,39,Sur place,Kevin-Laurent Patel,Corporate
ORD-0202,2025-10-23,EMP-0032,PRD-0005,24,Livraison,Éric-Michel Moreau,Corporate
ORD-0203,2025-12-17,EMP-0035,PRD-0004,38,Livraison,Sébastien-Jérôme Villeneuve,Corporate
ORD-0204,2025-03-28,EMP-0035,PRD-0006,5,Sur place,Hortense Trudel-Dion,Quotidien
ORD-0205,2025-01-20,EMP-0029,PRD-0003,1,À emporter,Marie Labonté,Quotidien
ORD-0206,2025-11-20,EMP-0034,PRD-0003,3,Sur place,Maurice Sirois,Quotidien
ORD-0207,2025-07-07,EMP-0029,PRD-0001,25,Sur place,Roland Lepage,Corporate
ORD-0208,2025-05-21,EMP-0035,PRD-0006,5,Sur place,Joseph Savoie,Quotidien
ORD-0209,2025-01-12,EMP-0025,PRD-0006,4,Sur place,Yves-Xavier Nadeau,Atelier
ORD-0210,2025-10-25,EMP-0008,PRD-0006,6,Sur place,Christelle Dufour,Quotidien
ORD-0211,2025-02-23,EMP-0003,PRD-0002,4,À emporter,Margot Doucet,Quotidien
ORD-0212,2025-05-31,EMP-0029,PRD-0003,5,Livraison,Jonathan Charbonneau,Quotidien
ORD-0213,2025-04-08,EMP-0003,PRD-0001,2,Sur place,Georges St-Laurent,Quotidien
ORD-0214,2025-08-22,EMP-0034,PRD-0003,3,Livraison,Élisabeth St-Pierre,Quotidien
ORD-0215,2025-10-12,EMP-0029,PRD-0005,3,Sur place,Renée Bégin,Quotidien
ORD-0216,2025-10-19,EMP-0008,PRD-0001,2,Sur place,Paul Nguyen,Quotidien
ORD-0217,2025-11-23,EMP-0007,PRD-0001,2,À emporter,Susanne Lavoie,Quotidien
ORD-0218,2025-07-12,EMP-0032,PRD-0006,1,Sur place,Alice Savoie-Veilleux,Quotidien
ORD-0219,2025-03-02,EMP-0008,PRD-0006,4,Livraison,Élise Martin,Quotidien
ORD-0220,2025-08-15,EMP-0003,PRD-0004,6,Sur place,Gérard St-Onge,Quotidien
ORD-0221,2025-08-01,EMP-0003,PRD-0003,1,Livraison,Gérard Goulet,Quotidien
ORD-0222,2025-04-14,EMP-0003,PRD-0003,2,À emporter,Stéphanie Émond,Quotidien
ORD-0223,2025-02-26,EMP-0034,PRD-0001,26,Sur place,Philippe Grenier,Corporate
ORD-0224,2025-07-11,EMP-0008,PRD-0001,6,Livraison,Paulette Maltais,Quotidien
ORD-0225,2025-11-18,EMP-0007,PRD-0006,28,Sur place,Mathieu Beaudoin-Nguyen,Corporate
ORD-0226,2025-07-22,EMP-0029,PRD-0006,1,Sur place,François-Mathieu Trottier,Atelier
ORD-0227,2025-01-13,EMP-0007,PRD-0002,1,Sur place,Grégoire Paré,Quotidien
ORD-0228,2025-02-13,EMP-0029,PRD-0003,4,Sur place,Timothée-Vincent Marchand,Quotidien
ORD-0229,2025-12-20,EMP-0025,PRD-0004,5,Sur place,Rémy-Alain Thibault,Quotidien
ORD-0230,2025-05-20,EMP-0029,PRD-0005,5,Livraison,Laurence Dumont,Anniversaire
ORD-0231,2025-09-20,EMP-0035,PRD-0004,1,À emporter,Georges Paré,Quotidien
ORD-0232,2025-08-08,EMP-0007,PRD-0005,5,Sur place,William Cyr,Quotidien
ORD-0233,2025-09-16,EMP-0029,PRD-0001,1,À emporter,Olivia-Amélie Duguay,Quotidien
ORD-0234,2025-03-07,EMP-0008,PRD-0005,6,À emporter,Denise-Christiane Charette,Quotidien
ORD-0235,2025-03-24,EMP-0032,PRD-0002,3,Sur place,Charles Rioux,Quotidien
ORD-0236,2025-07-18,EMP-0008,PRD-0004,3,À emporter,Julie Maltais,Quotidien
ORD-0237,2025-02-03,EMP-0003,PRD-0005,5,Sur place,Benoît Nadeau,Atelier
ORD-0238,2025-07-29,EMP-0007,PRD-0001,1,À emporter,Hortense St-Jean,Quotidien
ORD-0239,2025-04-28,EMP-0034,PRD-0002,6,Livraison,Odette Noël,Quotidien
ORD-0240,2025-11-21,EMP-0034,PRD-0001,5,À emporter,Lorraine Gilbert,Quotidien
ORD-0241,2025-09-06,EMP-0007,PRD-0002,41,Sur place,Nicolas Smith,Corporate
ORD-0242,2025-07-15,EMP-0003,PRD-0003,4,Sur place,Maurice-Daniel Jacques,Atelier
ORD-0243,2025-09-20,EMP-0025,PRD-0002,6,À emporter,Daniel Tessier,Quotidien
ORD-0244,2025-07-28,EMP-0029,PRD-0001,4,Livraison,Nathalie Harvey,Quotidien
ORD-0245,2025-10-04,EMP-0035,PRD-0005,3,Livraison,Diane-Isabelle Gaudreault,Quotidien
ORD-0246,2025-04-08,EMP-0007,PRD-0006,4,À emporter,Élise Gélinas,Quotidien
ORD-0247,2025-05-20,EMP-0025,PRD-0006,8,À emporter,Thomas Dionne,Atelier
ORD-0248,2025-07-25,EMP-0007,PRD-0002,8,Sur place,Henri Veilleux,Anniversaire
ORD-0249,2025-12-12,EMP-0035,PRD-0005,6,Sur place,Océane Lebel-Savard,Quotidien
ORD-0250,2025-11-09,EMP-0034,PRD-0003,6,Sur place,Guillaume-Noël Paquin,Quotidien
ORD-0251,2025-11-01,EMP-0007,PRD-0002,6,Livraison,Colette Gélinas,Quotidien
ORD-0252,2025-06-21,EMP-0035,PRD-0006,3,À emporter,Dorothée Turcotte,Quotidien
ORD-0253,2025-09-03,EMP-0032,PRD-0004,5,Livraison,Robert Grenier-Vincent,Quotidien
ORD-0254,2025-11-20,EMP-0035,PRD-0001,12,Livraison,Henriette Brisson,Corporate
ORD-0255,2025-11-02,EMP-0035,PRD-0005,5,Sur place,Stéphanie Auger-Turgeon,Quotidien
ORD-0256,2025-07-20,EMP-0032,PRD-0001,7,Livraison,Christine Dallaire,Anniversaire
ORD-0257,2025-02-10,EMP-0003,PRD-0001,6,Sur place,Antoine Coulombe,Quotidien
ORD-0258,2025-12-21,EMP-0034,PRD-0001,23,Sur place,Françoise-Anaïs Martel,Corporate
ORD-0259,2025-12-13,EMP-0035,PRD-0001,1,Livraison,Paul-Bernard Tremblay,Quotidien
ORD-0260,2025-08-31,EMP-0034,PRD-0005,5,Livraison,Agnès Duguay,Quotidien
ORD-0261,2025-08-07,EMP-0003,PRD-0002,3,Livraison,Marcel-Martin Côté,Quotidien
ORD-0262,2025-02-25,EMP-0034,PRD-0001,21,Livraison,Émile Drouin,Corporate
ORD-0263,2025-10-03,EMP-0007,PRD-0001,3,Sur place,Raymond Dion-Lavigne,Anniversaire
ORD-0264,2025-12-03,EMP-0034,PRD-0005,12,À emporter,Josette Bilodeau,Corporate
ORD-0265,2025-01-20,EMP-0008,PRD-0001,6,À emporter,Mélanie Labonté,Quotidien
ORD-0266,2025-07-16,EMP-0032,PRD-0006,5,Sur place,Jonathan Nguyen-Marchand,Quotidien
ORD-0267,2025-09-05,EMP-0008,PRD-0001,2,Sur place,Christiane Bergeron-Turcotte,Quotidien
ORD-0268,2025-07-25,EMP-0034,PRD-0006,3,À emporter,Antoine Lacroix,Quotidien
ORD-0269,2025-02-02,EMP-0025,PRD-0003,3,À emporter,Mathieu Lacroix,Quotidien
ORD-0270,2025-03-21,EMP-0003,PRD-0005,1,Sur place,Andrée Prévost,Quotidien
